Order_ID,Customer_ID,Supplier_ID,Supplier_Reliability_Score,Item_ID,Item_Category,Order_Quantity,Order_Date,Expected_Delivery_Days,Transport_Mode,Shipment_Distance_km,Actual_Delivery_Days,Delay,Disruption_Flag,Inventory_Level,Stock_Shortage_Risk,Cost_Per_Unit,Total_Order_Cost,Customer_Priority,Order_Flexibility,Predicted_Optimal_Supplier_ID
O00001,C0098,S3,85,Phone,Electronics,4,2026-03-14,11,Rail,4340,11,0,0,14,0.0,313,1252,1,1,
O00002,C0910,S5,60,Phone,Electronics,12,2026-01-29,2,Air,740,2,0,0,69,0.0,289,3468,0,0,
O00003,C0591,S1,90,Laptop,Electronics,7,2026-02-05,3,Rail,265,3,0,0,48,0.0,703,4921,1,1,
O00004,C0180,S2,80,Watch,Accessories,4,2026-03-24,7,Air,2822,7,0,0,67,0.0,832,3328,0,1,
O00005,C0660,S2,80,Shirt,Apparel,17,2026-02-09,9,Sea,3599,11,1,1,9,0.08,51,867,0,0,
O00006,C0838,S3,85,Shirt,Apparel,20,2026-03-06,6,Rail,1650,6,0,0,52,0.0,790,15800,0,0,
O00007,C0634,S3,85,Phone,Electronics,12,2026-02-02,9,Sea,3378,9,0,0,37,0.0,100,1200,0,1,
O00008,C0286,S1,90,Phone,Electronics,13,2026-02-24,11,Air,4353,11,0,0,40,0.0,467,6071,0,0,
O00009,C0054,S1,90,Shoes,Apparel,3,2026-02-23,4,Sea,624,4,0,0,31,0.0,252,756,0,0,
O00010,C0102,S5,60,Laptop,Electronics,13,2026-02-03,8,Road,3798,8,0,0,35,0.0,958,12454,0,0,
O00011,C0371,S2,80,Shoes,Apparel,18,2026-01-26,4,Air,567,4,0,0,3,0.15,622,11196,0,0,
O00012,C0604,S5,60,Phone,Electronics,13,2026-02-11,6,Rail,2293,7,1,0,33,0.0,550,7150,1,1,
O00013,C0705,S4,70,Watch,Accessories,9,2026-03-12,8,Rail,2879,8,0,0,78,0.0,361,3249,0,1,
O00014,C0911,S3,85,Phone,Electronics,12,2026-02-25,12,Air,4954,12,0,0,26,0.0,96,1152,0,0,
O00015,C0571,S1,90,Phone,Electronics,11,2026-03-06,10,Sea,4581,10,0,0,26,0.0,652,7172,1,0,
O00016,C0183,S5,60,Laptop,Electronics,16,2026-03-13,7,Rail,2572,10,1,0,23,0.0,556,8896,0,0,
O00017,C0903,S3,85,Shoes,Apparel,9,2026-02-08,5,Rail,2170,5,0,0,22,0.0,849,7641,0,1,
O00018,C0001,S3,85,Laptop,Electronics,14,2026-02-09,7,Rail,3349,7,0,0,89,0.0,487,6818,1,1,
O00019,C0946,S1,90,Watch,Accessories,15,2026-02-26,9,Road,3087,9,0,0,27,0.0,649,9735,1,0,
O00020,C0339,S4,70,Shirt,Apparel,17,2026-03-02,6,Road,1768,6,0,0,66,0.0,429,7293,0,0,
O00021,C0639,S2,80,Phone,Electronics,12,2026-03-17,2,Sea,91,2,0,0,97,0.0,908,10896,0,1,
O00022,C0918,S3,85,Shoes,Apparel,17,2026-02-11,7,Air,2120,7,0,0,52,0.0,470,7990,0,0,
O00023,C0205,S3,85,Laptop,Electronics,17,2026-02-19,6,Rail,2559,6,0,0,98,0.0,249,4233,0,0,
O00024,C0187,S3,85,Laptop,Electronics,16,2026-02-06,10,Road,3793,12,1,0,88,0.0,863,13808,0,0,
O00025,C0827,S5,60,Shoes,Apparel,14,2026-02-15,4,Sea,567,4,0,0,59,0.0,959,13426,0,1,
O00026,C0692,S4,70,Phone,Electronics,1,2026-02-13,7,Rail,3400,10,1,0,20,0.0,547,547,0,0,
O00027,C0147,S5,60,Laptop,Electronics,4,2026-03-23,8,Air,2919,8,0,0,28,0.0,527,2108,0,1,
O00028,C0280,S3,85,Shirt,Apparel,17,2026-01-28,9,Rail,3236,9,0,0,94,0.0,841,14297,0,0,
O00029,C0667,S5,60,Laptop,Electronics,17,2026-01-31,3,Sea,1118,3,0,0,17,0.0,470,7990,0,1,
O00030,C0387,S2,80,Phone,Electronics,17,2026-03-10,4,Rail,337,4,0,0,19,0.0,696,11832,1,0,
O00031,C0652,S5,60,Shoes,Apparel,20,2026-03-08,4,Air,1828,4,0,0,45,0.0,194,3880,0,1,
O00032,C0531,S2,80,Watch,Accessories,10,2026-01-25,3,Rail,1166,3,0,0,57,0.0,539,5390,0,0,
O00033,C0600,S3,85,Phone,Electronics,11,2026-02-20,6,Rail,2894,6,0,0,7,0.04,763,8393,0,0,
O00034,C0321,S2,80,Phone,Electronics,10,2026-02-13,4,Sea,831,4,0,0,81,0.0,92,920,0,1,
O00035,C0072,S5,60,Watch,Accessories,14,2026-02-16,5,Rail,1370,5,0,0,83,0.0,454,6356,0,1,
O00036,C0075,S2,80,Laptop,Electronics,6,2026-02-23,11,Air,4046,11,0,0,64,0.0,851,5106,0,1,
O00037,C0071,S2,80,Shirt,Apparel,16,2026-02-02,9,Rail,3670,9,0,0,43,0.0,767,12272,0,0,
O00038,C0874,S5,60,Shoes,Apparel,14,2026-03-19,4,Sea,1166,4,0,0,93,0.0,846,11844,1,1,
O00039,C0919,S3,85,Shirt,Apparel,20,2026-01-26,7,Sea,2421,7,0,0,11,0.09,688,13760,1,1,
O00040,C0191,S2,80,Phone,Electronics,20,2026-01-29,9,Road,3401,9,0,0,100,0.0,546,10920,1,0,
O00041,C0028,S4,70,Laptop,Electronics,11,2026-01-31,12,Road,4969,14,1,0,73,0.0,153,1683,1,0,
O00042,C0149,S4,70,Shirt,Apparel,1,2026-03-09,7,Road,2621,7,0,0,95,0.0,893,893,0,0,
O00043,C0468,S3,85,Shoes,Apparel,16,2026-02-19,4,Sea,1678,4,0,0,88,0.0,288,4608,1,0,
O00044,C0999,S2,80,Laptop,Electronics,18,2026-03-11,12,Road,4847,12,0,0,45,0.0,102,1836,0,0,
O00045,C0399,S3,85,Laptop,Electronics,1,2026-03-11,3,Rail,689,3,0,0,45,0.0,213,213,0,1,
O00046,C0996,S5,60,Watch,Accessories,19,2026-02-13,8,Rail,2967,8,0,0,22,0.0,581,11039,0,1,
O00047,C0828,S1,90,Phone,Electronics,1,2026-01-29,6,Road,2281,6,0,0,84,0.0,264,264,1,1,
O00048,C0990,S3,85,Shirt,Apparel,20,2026-02-01,7,Road,2707,7,0,0,38,0.0,956,19120,0,0,
O00049,C0952,S4,70,Phone,Electronics,4,2026-02-09,10,Rail,3722,10,0,0,41,0.0,670,2680,0,1,
O00050,C0856,S1,90,Shoes,Apparel,3,2026-02-26,2,Rail,991,2,0,0,27,0.0,252,756,0,0,
O00051,C0138,S2,80,Laptop,Electronics,17,2026-03-10,4,Rail,1752,7,1,0,53,0.0,890,15130,0,0,
O00052,C0092,S3,85,Watch,Accessories,14,2026-03-14,10,Road,4501,10,0,0,50,0.0,637,8918,1,0,
O00053,C0419,S3,85,Shoes,Apparel,3,2026-03-23,2,Sea,586,2,0,0,42,0.0,214,642,0,0,
O00054,C0696,S1,90,Watch,Accessories,15,2026-03-08,9,Rail,4237,9,0,0,55,0.0,461,6915,0,1,
O00055,C0456,S1,90,Watch,Accessories,17,2026-02-05,5,Air,1484,5,0,0,82,0.0,184,3128,0,0,
O00056,C0411,S1,90,Phone,Electronics,4,2026-02-19,11,Air,4940,11,0,0,15,0.0,251,1004,0,0,
O00057,C0591,S4,70,Watch,Accessories,10,2026-02-12,9,Rail,3532,9,0,0,83,0.0,363,3630,0,1,
O00058,C0499,S4,70,Laptop,Electronics,1,2026-03-07,7,Rail,2769,7,0,0,97,0.0,812,812,0,0,
O00059,C0972,S3,85,Laptop,Electronics,15,2026-02-18,9,Road,3998,9,0,0,82,0.0,562,8430,0,1,
